send_d,send_week,Channel,emailname,tc_flag,app_create_date,FICO_Band,segment,sub_segment,snd,opn,unsub,clk,app,offer,listings,Issued,listing_amount,Issued_amount
04/27/2026,04/26/2026,Email,E1_S1_S1A_test,test,04/27/2026,NA,S1,S1A,356730,90359,37,10046,2176,1693,1054,746,20892,7547
04/27/2026,04/26/2026,Email,E1_S1_S1A_control,control,04/28/2026,641-660,S1,S1A,474860,172838,1,26175,4276,3407,3017,1423,5093,12372
04/27/2026,04/26/2026,Email,E1_S1_S1A_test,test,,>720,S1,S1A,349162,101267,77,7290,810,461,257,161,39208,21773
04/27/2026,04/26/2026,Email,E1_S1_S1A_control,control,04/29/2026,600-620,S1,S1A,372174,79209,66,12870,0,0,0,0,0,0
04/27/2026,04/26/2026,Email,E1_S1_S1A_test,test,04/27/2026,621-640,S1,S1A,494084,204305,94,32234,5438,5008,4499,1647,7827,35838
04/27/2026,04/26/2026,Email,E1_S1_S1A_control,control,04/28/2026,661-680,S1,S1A,212474,69170,93,5861,968,911,620,299,5277,36257
04/27/2026,04/26/2026,Email,E1_S1_S1A_test,test,04/27/2026,681-700,S1,S1A,325512,83308,76,10432,1870,1050,543,362,1126,21260
04/27/2026,04/26/2026,Email,E1_S1_S1A_control,control,04/28/2026,701-720,S1,S1A,340724,105666,66,19739,2626,1814,1479,1076,26116,2221
04/29/2026,04/26/2026,Email,E1_S1_S1A_test,test,04/29/2026,NA,S1,S1A,150310,54000,95,7451,703,583,415,191,35921,34146
04/29/2026,04/26/2026,Email,E1_S1_S1A_control,control,04/29/2026,641-660,S1,S1A,336363,102446,69,9331,1206,847,478,264,38965,7336
04/29/2026,04/26/2026,Email,E2_S2_S2A_test,test,04/29/2026,>720,S2,S2A,406900,117856,44,22585,4706,3507,2518,1545,21547,30269
04/29/2026,04/26/2026,Email,E2_S2_S2A_control,control,04/29/2026,600-620,S2,S2A,196871,69282,92,5865,580,456,408,254,15627,16105
04/30/2026,04/26/2026,Email,E2_S2_S2B_test,test,04/29/2026,621-640,S2,S2B,431812,102629,46,9038,959,896,551,197,26345,34567
04/30/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/29/2026,661-680,S2,S2B,406390,157628,28,31690,5808,5451,3322,1394,18309,4458
04/27/2026,04/26/2026,Email,E2_S2_S2B_test,test,04/29/2026,681-700,S2,S2B,273758,111791,13,13973,3465,2167,1903,642,36176,23395
04/27/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/29/2026,701-720,S2,S2B,117772,25656,11,4404,903,476,258,206,10589,30711
04/27/2026,04/26/2026,Email,E2_S2_S2B_test,test,04/29/2026,NA,S2,S2B,467728,103811,36,11138,2050,1924,1379,572,31008,8824
04/27/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/29/2026,641-660,S2,S2B,75764,20834,93,2910,426,336,177,120,3350,33797
04/27/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/29/2026,>720,S2,S2B,421583,116278,41,19693,2917,2020,1774,1325,7780,33399
04/27/2026,04/26/2026,Email,E2_S2_S2B_test,test,04/29/2026,600-620,S2,S2B,338129,139516,87,9369,1216,801,717,383,3308,19137
04/27/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/29/2026,621-640,S2,S2B,308607,80623,57,9261,756,630,536,328,19939,29089
04/27/2026,04/26/2026,Email,E2_S2_S2B_control,control,,661-680,S2,S2B,281284,90051,64,18703,0,0,0,0,0,0
04/29/2026,04/26/2026,Email,E2_S2_S2B_control,control,,681-700,S2,S2B,296883,66358,43,8328,0,0,0,0,0,0
04/29/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/30/2026,701-720,S2,S2B,402383,116501,28,22084,2065,1293,824,399,36323,37006
04/29/2026,04/26/2026,Email,E2_S2_S2B_test,test,04/30/2026,NA,S2,S2B,386234,135017,76,27033,2282,2041,1674,557,19247,26167
04/29/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/30/2026,641-660,S2,S2B,115309,24942,26,1540,382,345,232,101,16781,5563
04/30/2026,04/26/2026,Email,E2_S2_S2B_control,control,04/30/2026,>720,S2,S2B,199236,67377,72,12860,1110,977,677,433,11521,21963
04/30/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,600-620,S1,S1B,414623,122626,47,16859,2004,1496,752,284,13399,5942
04/30/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,621-640,S1,S1B,105042,43412,90,2918,318,223,161,103,28598,22222
04/27/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,661-680,S1,S1B,358451,128541,45,12789,1136,585,300,94,15937,31689
04/27/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,681-700,S1,S1B,211535,68309,79,12362,2457,1580,1371,796,15030,8394
04/27/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,701-720,S1,S1B,377369,70065,52,13660,1292,1076,812,566,1170,11233
04/27/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,661-680,S1,S1B,170640,59904,9,8193,1206,911,612,194,10870,31464
04/27/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,681-700,S1,S1B,400878,112065,88,13363,1653,1139,609,407,37506,39539
04/27/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,701-720,S1,S1B,190983,56842,99,11098,981,780,646,405,21229,15927
04/27/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,NA,S1,S1B,204424,55166,16,9842,1349,1117,473,269,6972,38563
04/27/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,701-720,S1,S1B,241174,94478,64,11122,2236,1947,1013,642,11397,27479
04/29/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,NA,S1,S1B,489411,107736,45,19331,3479,3264,1747,1232,8922,26260
04/29/2026,04/26/2026,Email,E1_S1_S2B_control,control,,641-660,S1,S1B,197723,79617,97,8484,0,0,0,0,0,0
04/29/2026,04/26/2026,Email,E1_S1_S1B_test,test,,>720,S1,S1B,122489,41828,42,7443,0,0,0,0,0,0
04/29/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,600-620,S1,S1B,131109,26464,69,2372,562,382,258,169,13888,28863
04/30/2026,04/26/2026,Email,E1_S1_S1B_test,test,04/30/2026,621-640,S1,S1B,155218,51187,91,6532,953,778,539,406,22128,5723
04/30/2026,04/26/2026,Email,E1_S1_S2B_control,control,04/30/2026,661-680,S1,S1B,313248,95611,94,19062,2152,1692,916,478,37931,21148
